"BehaviorSpace results (NetLogo 6.3.0)"
"For study-Task1.nlogo"
"NG_values_sens"
"06/21/2023 22:18:18:971 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","awareness","import-independence","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household","neighborhood-blackout-NG","neighborhood-NG-source-preference","share-national-NG-in-neighborhood","share-ally-NG-in-neighborhood","share-other-NG-in-neighborhood","neighborhood-national-NG","neighborhood-grid-NG","neighborhood-ally-NG","neighborhood-blackout-NG","miscomfort-for-environment"
"13","1","1","239","41","0.29","[false false false]","[105.5658297216331 108.10073660889348 101.39432693750638]","[80.27000361170033 77.73509672443986 84.44150639582703]","[2.453452231747515 2.336683181395215 2.598432450529488]","[147.1651804364894 148.62479356589316 145.35292770171475]","[0 0 0]","[[0 0 0 74] [0 0 0 79] [0 0 0 78]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[767069 734103 1117168]","[0 0 0]","[0 0 0]","[327872 315276 474780]"
"12","1","1","239","41","0.47","[false false false]","[112.92758005439879 129.71612758410402 105.22754137680214]","[72.9082532789346 56.11970574922934 80.60829195653116]","[1.9058678006052514 2.2869391742950915 2.0844784185086724]","[154.0099858257677 149.2465936546447 151.77735310197494]","[0 0 0]","[[0 0 0 73] [0 0 0 85] [0 0 0 82]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1319036 1505805 921921]","[0 0 0]","[0 0 0]","[575515 539448 434176]"
"14","1","1","239","41","0.5066666666666667","[false false false]","[106.87221830046671 109.79185651471343 134.54149199213458]","[78.96361503286674 76.04397681861998 51.29434134119861]","[2.3005410668985586 1.8655492275642427 2.3588769579399105]","[149.07656999710136 154.5139679887803 148.34737135908446]","[0 0 0]","[[0 0 0 77] [0 0 0 67] [0 0 0 81]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1526970 608295 2374484]","[0 0 0]","[0 0 0]","[634800 394160 944580]"
"16","1","1","239","41","0.5","[false false false]","[109.61898654427107 135.5857647837828 107.61266628603414]","[76.21684678906225 50.25006854955055 78.22316704729907]","[2.408524621047275 2.011043726158407 2.2568976514136194]","[147.7267755702424 152.69528675635325 149.6221126906631]","[0 0 0]","[[0 0 0 74] [0 0 0 77] [0 0 0 93]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1170184 1531610 1800142]","[0 0 0]","[0 0 0]","[626696 534576 663250]"
"15","1","1","239","41","0.34","[false false false]","[108.57397214705637 97.32845011665776 103.04454366798198]","[77.26186118627695 88.50738321667565 82.79128966535147]","[2.2734283584209676 2.7508978071191996 2.460306799224643]","[149.41547885307125 143.44711074434335 147.0794983430253]","[0 0 0]","[[0 0 0 80] [0 0 0 83] [0 0 0 63]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[688756 1454794 823691]","[0 0 0]","[0 0 0]","[297192 624138 418741]"
"18","1","1","239","41","0.37666666666666665","[false false false]","[108.52417075820617 97.61821692969936 109.48147676470154]","[77.31166257512709 88.21761640363414 76.35435656863181]","[2.246874499153057 2.660832025731104 1.9791161364804384]","[149.74740209392013 144.57293301169454 153.09438162732786]","[0 0 0]","[[0 0 0 94] [0 0 0 71] [0 0 0 69]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1489884 1238841 767386]","[0 0 0]","[0 0 0]","[485522 588591 421646]"
"17","1","1","239","41","0.44333333333333336","[false false false]","[117.50839363002937 102.23995583517578 131.43526041832914]","[68.32743970330407 83.5958774981577 54.40057291500416]","[1.591594991973418 2.611097774196494 2.2309096169925056]","[157.93839593366562 145.19461115587717 149.94696312092702]","[0 0 0]","[[0 0 0 83] [0 0 0 87] [0 0 0 76]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[953981 1319381 1702143]","[0 0 0]","[0 0 0]","[423334 546040 695175]"
"19","1","1","239","41","0.52","[false false false]","[130.31996059548158 134.41259901306555 107.27110711201294]","[55.51587273785173 51.42323432026792 78.56472622132034]","[2.361666128387144 2.1989937336410708 1.9962663024398808]","[148.31250672849404 150.34591166281996 152.88000455283483]","[0 0 0]","[[0 0 0 85] [0 0 0 80] [0 0 0 86]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1729719 1794215 1193063]","[0 0 0]","[0 0 0]","[653989 694969 520734]"
"20","1","1","239","41","0.42333333333333334","[false false false]","[103.35545767898465 138.9406440019944 106.35537579701712]","[82.48037565434882 46.89518933133881 79.4804575363162]","[2.2729942234078226 2.2398796957171747 2.4672440941689477]","[149.42090554073556 149.83483713686866 146.9927821562215]","[0 0 0]","[[0 0 0 89] [0 0 0 80] [0 0 0 90]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1165763 2087673 1355249]","[0 0 0]","[0 0 0]","[526253 726231 447840]"
"21","1","1","239","41","0.43","[false false false]","[110.22260410131035 103.62657455506225 141.14287338413553]","[75.61322923202282 82.20925877827096 44.6929599491976]","[1.9539747953585356 2.7102634410565973 1.9643094859704502]","[153.40864839135165 143.95504032012587 153.27946475870272]","[0 0 0]","[[0 0 0 81] [0 0 0 77] [0 0 0 82]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[794119 1753704 1781648]","[0 0 0]","[0 0 0]","[383022 749216 571905]"
